metric,value
stego_psnr,9.3143
stego_ssim,0.0991
stego_lpips,
wrong_key_ber_mean,0.4903
wrong_key_ber_std,0.0289
wrong_key_ber_max,0.5755
true_key_acc,1.0000
far_tau4,0.000000
far_tau8,0.000000
far_tau12,0.000000
resid_corr_mean_no_nonce,0.1859
resid_corr_mean_nonce,0.0326
slot_auc_no_nonce_N1,0.8248
slot_auc_nonce_N1,0.8189
slot_auc_no_nonce_N2,0.8676
slot_auc_nonce_N2,0.7763
slot_auc_no_nonce_N4,0.9179
slot_auc_nonce_N4,0.7843
slot_auc_no_nonce_N8,0.9512
slot_auc_nonce_N8,0.7839
slot_auc_no_nonce_N16,0.9681
slot_auc_nonce_N16,0.7772
presence_auc_no_nonce,1.0000
presence_auc_nonce,0.9167
log2_param_space,1354.09
key_entropy_bits,64.0
