metric,value
stego_psnr,28.1677
stego_ssim,0.8612
stego_lpips,
wrong_key_ber_mean,0.4977
wrong_key_ber_std,0.0403
wrong_key_ber_max,0.5703
true_key_acc,0.8984
far_tau4,0.000000
far_tau8,0.000000
far_tau12,0.037037
resid_corr_mean_no_nonce,0.1653
resid_corr_mean_nonce,0.0348
slot_auc_no_nonce_N2,0.8243
slot_auc_nonce_N2,0.6392
slot_auc_no_nonce_N4,0.9317
slot_auc_nonce_N4,0.6622
slot_auc_no_nonce_N8,0.9640
slot_auc_nonce_N8,0.6617
presence_auc_no_nonce,1.0000
presence_auc_nonce,0.7500
log2_param_space,1354.09
key_entropy_bits,64.0
