metric,value
stego_psnr,30.3696
stego_ssim,0.8962
stego_lpips,
wrong_key_ber_mean,0.5011
wrong_key_ber_std,0.0332
wrong_key_ber_max,0.5781
true_key_acc,0.9922
far_tau4,0.000000
far_tau8,0.599034
far_tau12,1.000000
resid_corr_mean_no_nonce,0.0785
resid_corr_mean_nonce,0.0258
slot_auc_no_nonce_N1,0.5288
slot_auc_nonce_N1,0.5416
slot_auc_no_nonce_N2,0.6253
slot_auc_nonce_N2,0.5291
slot_auc_no_nonce_N4,0.7551
slot_auc_nonce_N4,0.5143
slot_auc_no_nonce_N8,0.8847
slot_auc_nonce_N8,0.5079
slot_auc_no_nonce_N16,0.9464
slot_auc_nonce_N16,0.5207
slot_auc_no_nonce_N32,0.9624
slot_auc_nonce_N32,0.5250
presence_auc_no_nonce,1.0000
presence_auc_nonce,0.5625
log2_param_space,2674.27
key_entropy_bits,64.0
