attack,s_hide,s_rec,bit_acc
clean,10,10,0.9258
jpeg50,10,10,0.9219
clean,10,25,0.9062
jpeg50,10,25,0.9180
clean,10,50,0.8906
jpeg50,10,50,0.9023
clean,10,100,0.8516
jpeg50,10,100,0.8867
clean,25,10,1.0000
jpeg50,25,10,0.9961
clean,25,25,1.0000
jpeg50,25,25,1.0000
clean,25,50,1.0000
jpeg50,25,50,0.9961
clean,25,100,1.0000
jpeg50,25,100,0.9922
clean,50,10,1.0000
jpeg50,50,10,1.0000
clean,50,25,1.0000
jpeg50,50,25,0.9961
clean,50,50,1.0000
jpeg50,50,50,0.9961
clean,50,100,1.0000
jpeg50,50,100,0.9961
clean,100,10,1.0000
jpeg50,100,10,0.9961
clean,100,25,1.0000
jpeg50,100,25,0.9961
clean,100,50,1.0000
jpeg50,100,50,0.9961
clean,100,100,1.0000
jpeg50,100,100,0.9922
