attack,s_hide,s_rec,bit_acc
clean,25,25,0.0469
jpeg50,25,25,0.5625
clean,25,50,0.0469
jpeg50,25,50,0.5703
clean,25,100,0.0469
jpeg50,25,100,0.5703
clean,25,150,0.0469
jpeg50,25,150,0.5703
clean,50,25,0.7578
jpeg50,50,25,0.6953
clean,50,50,0.7734
jpeg50,50,50,0.7031
clean,50,100,0.7734
jpeg50,50,100,0.7109
clean,50,150,0.7734
jpeg50,50,150,0.7109
clean,100,25,0.9922
jpeg50,100,25,0.8594
clean,100,50,0.9922
jpeg50,100,50,0.8594
clean,100,100,0.9922
jpeg50,100,100,0.8594
clean,100,150,0.9922
jpeg50,100,150,0.8594
clean,150,25,0.9922
jpeg50,150,25,0.8594
clean,150,50,0.9922
jpeg50,150,50,0.8516
clean,150,100,0.9922
jpeg50,150,100,0.8516
clean,150,150,0.9922
jpeg50,150,150,0.8516
