metric,value
stego_psnr,9.4064
stego_ssim,0.1015
stego_lpips,
wrong_key_ber_mean,0.4996
wrong_key_ber_std,0.0236
wrong_key_ber_max,0.5664
true_key_acc,0.9961
far_tau4,0.000000
far_tau8,0.000000
far_tau12,0.000000
resid_corr_mean_no_nonce,0.1906
resid_corr_mean_nonce,0.0325
slot_auc_no_nonce_N1,0.8259
slot_auc_nonce_N1,0.8273
slot_auc_no_nonce_N2,0.8582
slot_auc_nonce_N2,0.7720
slot_auc_no_nonce_N4,0.9124
slot_auc_nonce_N4,0.7838
slot_auc_no_nonce_N8,0.9501
slot_auc_nonce_N8,0.7849
slot_auc_no_nonce_N16,0.9681
slot_auc_nonce_N16,0.7784
slot_auc_no_nonce_N32,0.9722
slot_auc_nonce_N32,0.7935
presence_auc_no_nonce,1.0000
presence_auc_nonce,0.8125
log2_param_space,1354.09
key_entropy_bits,64.0
