/opt/conda/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
S_hide=10: PSNR 14.11 dB, SSIM 0.2405
S_hide=25: PSNR 10.28 dB, SSIM 0.1322
S_hide=50: PSNR 9.26 dB, SSIM 0.0988
S_hide=100: PSNR 9.11 dB, SSIM 0.0828
S_hide=10 S_rec=10: clean 0.807 jpeg50 0.881
S_hide=10 S_rec=25: clean 0.783 jpeg50 0.863
S_hide=10 S_rec=50: clean 0.770 jpeg50 0.820
S_hide=10 S_rec=100: clean 0.730 jpeg50 0.811
S_hide=25 S_rec=10: clean 0.990 jpeg50 0.986
S_hide=25 S_rec=25: clean 0.994 jpeg50 0.979
S_hide=25 S_rec=50: clean 0.992 jpeg50 0.982
S_hide=25 S_rec=100: clean 0.988 jpeg50 0.982
S_hide=50 S_rec=10: clean 0.992 jpeg50 0.990
S_hide=50 S_rec=25: clean 0.994 jpeg50 0.990
S_hide=50 S_rec=50: clean 0.994 jpeg50 0.988
S_hide=50 S_rec=100: clean 0.990 jpeg50 0.986
S_hide=100 S_rec=10: clean 0.992 jpeg50 0.994
S_hide=100 S_rec=25: clean 0.992 jpeg50 0.994
S_hide=100 S_rec=50: clean 0.994 jpeg50 0.994
S_hide=100 S_rec=100: clean 0.992 jpeg50 0.994
saved -> /root/diffusion/results/steps_grid.md, /root/diffusion/results/steps_grid.csv
