attack,s_hide,s_rec,bit_acc
clean,10,10,0.8066
jpeg50,10,10,0.8809
clean,10,25,0.7832
jpeg50,10,25,0.8633
clean,10,50,0.7695
jpeg50,10,50,0.8203
clean,10,100,0.7305
jpeg50,10,100,0.8105
clean,25,10,0.9902
jpeg50,25,10,0.9863
clean,25,25,0.9941
jpeg50,25,25,0.9785
clean,25,50,0.9922
jpeg50,25,50,0.9824
clean,25,100,0.9883
jpeg50,25,100,0.9824
clean,50,10,0.9922
jpeg50,50,10,0.9902
clean,50,25,0.9941
jpeg50,50,25,0.9902
clean,50,50,0.9941
jpeg50,50,50,0.9883
clean,50,100,0.9902
jpeg50,50,100,0.9863
clean,100,10,0.9922
jpeg50,100,10,0.9941
clean,100,25,0.9922
jpeg50,100,25,0.9941
clean,100,50,0.9941
jpeg50,100,50,0.9941
clean,100,100,0.9922
jpeg50,100,100,0.9941
