metric,value
stego_psnr,9.7437
stego_ssim,0.0976
stego_lpips,
wrong_key_ber_mean,0.4544
wrong_key_ber_std,0.1486
wrong_key_ber_max,0.8125
true_key_acc,0.6875
far_tau4,1.000000
far_tau8,1.000000
far_tau12,1.000000
resid_corr_mean_no_nonce,0.2462
resid_corr_mean_nonce,0.1214
slot_auc_no_nonce_N1,0.7937
slot_auc_nonce_N1,0.8069
slot_auc_no_nonce_N2,0.8796
slot_auc_nonce_N2,0.7903
slot_auc_no_nonce_N4,0.9616
slot_auc_nonce_N4,0.7284
presence_auc_no_nonce,1.0000
presence_auc_nonce,1.0000
log2_param_space,102.51
key_entropy_bits,64.0
