attack,s_hide,s_rec,bit_acc
clean,10,10,0.4746
clean,10,25,0.4824
clean,10,50,0.4883
clean,10,100,0.4902
clean,25,10,0.4668
clean,25,25,0.4668
clean,25,50,0.4688
clean,25,100,0.4688
clean,50,10,0.4629
clean,50,25,0.4609
clean,50,50,0.4629
clean,50,100,0.4941
clean,100,10,0.4688
clean,100,25,0.4648
clean,100,50,0.4648
clean,100,100,0.4785
jpeg50,10,10,0.5254
jpeg50,10,25,0.5391
jpeg50,10,50,0.5527
jpeg50,10,100,0.5293
jpeg50,25,10,0.4688
jpeg50,25,25,0.4766
jpeg50,25,50,0.4727
jpeg50,25,100,0.4609
jpeg50,50,10,0.4746
jpeg50,50,25,0.4668
jpeg50,50,50,0.4727
jpeg50,50,100,0.4805
jpeg50,100,10,0.4980
jpeg50,100,25,0.4941
jpeg50,100,50,0.4902
jpeg50,100,100,0.4844
